hash,filename,object,score,decision
7d9d9a2af109d46024c87c4aab40183b95f45426f116b87af63d8ca057f90381870ed331670c6dc7c307940dfac1d2254cfbf2eab345b62ca7952db877af09e4,__init__.py,__getattr__,0.001,
e050292d1f097c180748e2c1370637e19ceaa14cdbd5b5492f01a999f773053f776179a0bd411f5c3a906c602f627794c05b2ef014e8517ac8f3dd97e1e612be,setup.py,<module>,1.0,suspicious
225c82cf192d840724167b74acadb72e9d1f51f9b42b388142e673370a28e7c3818a7793db212fdfe54a55714768b068e7e4e4784ce46661cb6684df70a5f681,setup.py,<module>,1.0,suspicious
f51a0ee0e4f3e80a3fe4c9df8a62b4fd07082e551f96c06cb3c986f53835039dbf81b6814ee8e49aa6301f7c84b0520f74c60d395a6526fa24e25ed5d9d630f6,setup.py,<module>,1.0,suspicious
ee711a1e3c0594573963c992df09d1e3a25dc5da29f4ff292dd609ad4546a520a26cc1209719f22ab3e97d83cb3df2a1e04f5c27aff7f82d9fde5b58dfda9412,setup.py,<module>,1.0,suspicious
f84a760ad54d5df50d6e48dbc0bfb894896a2fed9f6bd8d8d305b58979b28534714e50d5d4ef9428e71cf239d7b9ee753744b43cf5970094ab6093453bfce2ce,__init__.py,<module>,1.0,suspicious
f238f2dc5e7bc04d920375de3f2d03b2894ad2629da46591732c2f21cba1916e8ea7eb2099e61638362bcbcabf6255913a205f10311555e7ab8eb32f905a5d5c,__init__.py,<module>,0.951,
caec4b7f7e421dd905a5138dadf6eeea98b2e52c1f8a678a6e3079a97fb9d38bc33027416502804bb507c19cba35bb23f76922ed1dcb4a66c96aea3d37b57196,__init__.py,log,0.01,
62dcdfdc851182532d0568efa0ed9b8c6c820ea293e1ada53d7213d41f568f200fd269127e681121175cf76262997ebad2c40282358de67b9db5ad725c3718cb,__init__.py,save_some_stuff,0.003,suspicious
054d1f34a768e1071db77937a910ff8de0e4bfacdc979340b98a37307891e282fe68bf0ad2ca65598c01ae09fa94fdec2cc0da8408bcae660d4e2b819ad3887a,__init__.py,_save_some_stuff,0.009,suspicious
fb31c6121b135ecf0ebe0f09a1921f94b7da1fa67670470e8029806de127fb328b6b2f0d5d85e60db3fbd84fb74e51a54d111f2191925f719c626516027d5a43,setup.py,<module>,1.0,suspicious
54d5853b787857a9245ab6f8a2f24c264ac31a5591ea121b92f9eeab72d4c8ce8b85ec903a97510de084bd38f9bb1ce0f5bfd6476f35a362f68d85c52f99b84a,setup.py,<module>,1.0,suspicious
14eab4cd93fbac586d037ffac4632dfbf1fc2c6bf12e298e9eb53c3dd37859112458f29c0435137225bdbe2142bae2cf94036fee310613dd35f15e2b0dad418c,setup.py,<module>,1.0,suspicious
90348a65e98d472387dc3ffe4d3848e1aede5d470f6262a39acd35ed162a664518f3ad1ba4308a054890deb2f12a3310265b1428f34b8b2a6575d1f23a9a885c,setup.py,<module>,1.0,suspicious
e69d84054f61fcd0bb86cd249396dcde8613621a1eb9c96f178fef187874980e66ee4ce3db8c7cf3894cba99229aed01f0ba4b71e877c275a20a164e63ba1fc0,setup.py,<module>,1.0,suspicious
1b3415870f3e0748761d8d9a72992d4302014b3cefaecd2f30943a546d4cb4e1dd16d3e565e74feb869fabab89ee2e77aeca1d5b3536e1cd1e8003d3aa35880b,setup.py,<module>,1.0,suspicious
8662c70621bba0c6b66d4247428e61fc846c44482102a9c2c16fe5bf36342ff003bb1f2a96d7fffc4dbfa2b16c060b81ccdec2665aff52c31301d7b1c95bc6ea,setup.py,<module>,1.0,suspicious
4635d764d3d531bbf96757a28598824cae8f0e3a871f381753467f7b3d8c29c262073da29585bc93b4df66628f09c69059cd34d352dda12a6e16f792e3ea67a5,setup.py,<module>,1.0,suspicious
3a26c977777403720f0b91c2f58a4bbc88a7f2bcc2726933d2e1291a45421a8258781c9b603958a10789e65caa3a892f64371a7ea98bd825e63e9c3426be291f,setup.py,<module>,1.0,suspicious
e36867178ff5041642d3761c116f205118f6f9ad6f0df58f1dd3eeb491dbba38dbd0941867eed104a6f6a9b3897b75a720399751e919b7f653cc58a657f955b4,setup.py,<module>,1.0,suspicious
164bb3e10dba3b14ce435190b7c0b044371b69dc30255f81c19b583746b648699586463a4bfb46d45f30da8bee55a46076a3f78841c4b24b22168a05c632b0e3,setup.py,<module>,1.0,suspicious
bd12b05ec215467e77bf58331d9bafc3788ad337802d0147e8c15f015eed513b03d4da0bb5e58e17cf280752eee8143e5dcfa62b46c4c791b082693d8790874d,setup.py,<module>,1.0,suspicious
